"Family","Treatment","Flume","n","Meand15N","SDd15N","Meand13C","SDd13C"
"Chironomidae","ALAN + Crayfish","Flume 1",3,7.18738095238096,0.658484117753294,-26.2842857142857,0.200177421304201
"Chironomidae","ALAN + Crayfish","Flume 11",3,7.12175,0.0202977831301844,-25.834875,0.212938958389487
"Chironomidae","ALAN + Crayfish","Flume 14",2,6.4815,0.93408805794743,-26.395,0.272943217538007
"Chironomidae","ALAN + Crayfish","Flume 8",3,6.27075,0.811026715548467,-26.0038333333333,0.71035789101926
"Chironomidae","Crayfish","Flume 12",3,7.12883333333333,0.226977467677594,-25.65925,0.185597472706391
"Chironomidae","Crayfish","Flume 15",2,7.172,0.00565685424949239,-25.952,1.00833426997202
"Chironomidae","Crayfish","Flume 2",4,7.61985714285715,0.0777231262478653,-25.8301428571428,0.250281800360795
"Chironomidae","Crayfish","Flume 5",3,7.49771428571429,0.0310966236109324,-25.525619047619,0.355128615199244
"Ephemeroptera","ALAN + Crayfish","Flume 1",4,7.61328571428572,0.474609284347785,-28.5129642857143,0.937585162571823
"Ephemeroptera","ALAN + Crayfish","Flume 11",3,7.69308333333333,0.363869940134292,-28.101875,0.260862032499941
"Ephemeroptera","ALAN + Crayfish","Flume 14",3,7.72833333333333,0.415307516586605,-28.8263333333333,0.107150983818785
"Ephemeroptera","ALAN + Crayfish","Flume 8",3,8.04841666666667,0.381654730526605,-28.6428333333333,0.250942888588886
"Ephemeroptera","Crayfish","Flume 12",2,8.731,0.0282842712474613,-29.9505,0.317490944752761
"Ephemeroptera","Crayfish","Flume 15",3,7.086,0.433017320669739,-29.723,0.913901526423937
"Ephemeroptera","Crayfish","Flume 2",2,8.39321428571429,0.594676802977887,-29.1267857142857,1.46866078452446
"Ephemeroptera","Crayfish","Flume 5",3,8.19304761904762,0.571116742298222,-27.6559523809524,0.712855057731468
"Gammaridae","ALAN + Crayfish","Flume 1",3,8.18371428571429,0.639505277538817,-26.5839523809524,0.304665937271192
"Gammaridae","ALAN + Crayfish","Flume 11",3,7.01775,0.398048991959533,-26.3722083333333,0.425166241996391
"Gammaridae","ALAN + Crayfish","Flume 14",3,8.269,0.874610770571687,-26.4476666666667,0.187580205067948
"Gammaridae","ALAN + Crayfish","Flume 8",3,7.77675,0.738547448261338,-26.0615,0.679975734861178
"Gammaridae","Crayfish","Flume 12",3,7.39208333333333,0.820868645602531,-26.7765416666667,0.489001363324617
"Gammaridae","Crayfish","Flume 15",3,7.28333333333333,0.417990829245491,-26.127,0.588874349925348
"Gammaridae","Crayfish","Flume 2",4,7.16103571428572,0.239635306104866,-25.9612142857143,0.766750174393186
"Gammaridae","Crayfish","Flume 5",3,7.11071428571429,0.414508142260197,-25.8959523809524,0.259740896536015
"Simuliidae","ALAN + Crayfish","Flume 1",3,4.41519487427683,0.0550255670955163,-27.2301440879604,0.0621857209944678
"Simuliidae","ALAN + Crayfish","Flume 11",3,4.44520873066527,0.0232012799925546,-27.2655296874624,0.118198163823559
"Simuliidae","ALAN + Crayfish","Flume 14",3,4.4963672295005,0.147988477249558,-27.959156365684,0.120472224129029
"Simuliidae","ALAN + Crayfish","Flume 8",3,4.42558452356296,0.0770795874511611,-26.6084588488059,0.20744142419707
"Simuliidae","Crayfish","Flume 12",3,4.94477360665745,0.138094359266219,-26.5786554601554,0.095561402431016
"Simuliidae","Crayfish","Flume 15",3,4.57355256292959,0.0959767973401324,-26.7770909196548,0.1185695609629
"Simuliidae","Crayfish","Flume 2",3,4.95364068854692,0.15693663194617,-26.5066026915168,0.0429362941723898
"Simuliidae","Crayfish","Flume 5",3,4.76526929073503,0.0907507301815663,-26.5633191849087,0.0231345471625299
