"Flume","Treatment","Type","Family","Species","d15N","d13C"
"Flume 1","ALAN + Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",7.681083333,-26.4615
"Flume 1","ALAN + Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",7.295083333,-25.9205
"Flume 1","ALAN + Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",6.367083333,-26.0605
"Flume 2","Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",8.404083333,-26.1305
"Flume 2","Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",8.707083333,-26.2165
"Flume 2","Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",8.988083333,-26.5425
"Flume 3","ALAN","Spider","Tetragnathidae","Tetragnatha extensa",8.714083333,-25.8365
"Flume 3","ALAN","Spider","Tetragnathidae","Tetragnatha extensa",7.689083333,-26.0675
"Flume 3","ALAN","Spider","Tetragnathidae","Tetragnatha extensa",8.246083333,-25.7045
"Flume 4","Control","Spider","Tetragnathidae","Tetragnatha extensa",7.508083333,-25.9595
"Flume 4","Control","Spider","Tetragnathidae","Tetragnatha extensa",7.610083333,-25.6445
"Flume 4","Control","Spider","Tetragnathidae","Tetragnatha extensa",8.252083333,-25.8865
"Flume 5","Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",8.990083333,-26.8835
"Flume 5","Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",8.702083333,-25.8765
"Flume 5","Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",8.575083333,-26.1155
"Flume 6","ALAN","Spider","Tetragnathidae","Tetragnatha extensa",7.439083333,-25.7775
"Flume 6","ALAN","Spider","Tetragnathidae","Tetragnatha extensa",9.028083333,-25.7335
"Flume 6","ALAN","Spider","Tetragnathidae","Tetragnatha extensa",7.476083333,-25.8425
"Flume 7","Control","Spider","Tetragnathidae","Tetragnatha extensa",7.262083333,-25.8375
"Flume 7","Control","Spider","Tetragnathidae","Tetragnatha extensa",9.240083333,-26.4005
"Flume 7","Control","Spider","Tetragnathidae","Tetragnatha extensa",7.673083333,-26.1515
"Flume 8","ALAN + Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",7.026083333,-26.7095
"Flume 8","ALAN + Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",7.783083333,-26.6255
"Flume 8","ALAN + Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",7.314083333,-26.9215
"Flume 9","ALAN","Spider","Tetragnathidae","Tetragnatha extensa",8.678083333,-26.2365
"Flume 9","ALAN","Spider","Tetragnathidae","Tetragnatha extensa",7.788083333,-26.7765
"Flume 9","ALAN","Spider","Tetragnathidae","Tetragnatha extensa",7.408083333,-26.5525
"Flume 10","Control","Spider","Tetragnathidae","Tetragnatha extensa",7.651166667,-25.53441667
"Flume 10","Control","Spider","Tetragnathidae","Tetragnatha extensa",8.229166667,-26.05441667
"Flume 10","Control","Spider","Tetragnathidae","Tetragnatha extensa",7.777166667,-26.09541667
"Flume 11","ALAN + Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",9.487166667,-25.81741667
"Flume 11","ALAN + Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",7.610166667,-25.90141667
"Flume 11","ALAN + Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",8.412166667,-25.77541667
"Flume 12","Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",8.118166667,-25.48141667
"Flume 12","Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",8.300166667,-25.29341667
"Flume 12","Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",8.308166667,-25.38841667
"Flume 13","Control","Spider","Tetragnathidae","Tetragnatha extensa",8.385166667,-26.62641667
"Flume 13","Control","Spider","Tetragnathidae","Tetragnatha extensa",7.976166667,-25.92041667
"Flume 13","Control","Spider","Tetragnathidae","Tetragnatha extensa",7.618166667,-25.99341667
"Flume 14","ALAN + Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",7.202166667,-26.02841667
"Flume 14","ALAN + Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",7.478166667,-25.67641667
"Flume 14","ALAN + Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",7.698166667,-25.97641667
"Flume 15","Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",8.058166667,-26.12441667
"Flume 15","Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",7.821166667,-25.87541667
"Flume 15","Crayfish","Spider","Tetragnathidae","Tetragnatha extensa",7.993166667,-26.09741667
"Flume 16","ALAN","Spider","Tetragnathidae","Tetragnatha extensa",8.755166667,-25.66341667
"Flume 16","ALAN","Spider","Tetragnathidae","Tetragnatha extensa",7.752166667,-25.50441667
"Flume 16","ALAN","Spider","Tetragnathidae","Tetragnatha extensa",7.685166667,-26.81341667
